2025-08-14 01:42:25 - TRADE | BUY | 516706 | reaction=0ms | execution=1258ms | total=1258ms | grade=B | roi_v2=44.1%
2025-08-14 01:42:25 - TRADE | SELL | 516706 | reaction=0ms | execution=1274ms | total=1274ms | grade=B | roi_v2=22.6%
2025-08-14 01:42:25 - TRADE | SELL | 516706 | reaction=0ms | execution=1000ms | total=1000ms | grade=A | roi_v2=40.2%
2025-08-14 01:42:25 - TRADE | SELL | 516706 | reaction=0ms | execution=1281ms | total=1281ms | grade=B | roi_v2=22.6%
2025-08-14 01:42:25 - TRADE | SELL | 516710 | reaction=0ms | execution=1285ms | total=1285ms | grade=B | roi_v2=27.0%
2025-08-14 01:42:25 - TRADE | SELL | 516710 | reaction=0ms | execution=1014ms | total=1014ms | grade=B | roi_v2=45.5%
2025-08-14 01:42:25 - TRADE | SELL | 516710 | reaction=0ms | execution=1289ms | total=1289ms | grade=B | roi_v2=27.0%
2025-08-14 01:42:25 - TRADE | SELL | 516710 | reaction=0ms | execution=1293ms | total=1293ms | grade=B | roi_v2=27.0%
2025-08-14 01:42:25 - TRADE | SELL | 516710 | reaction=0ms | execution=1283ms | total=1283ms | grade=B | roi_v2=27.0%
2025-08-14 01:42:25 - TRADE | SELL | 516711 | reaction=0ms | execution=1011ms | total=1011ms | grade=B | roi_v2=45.5%
2025-08-14 01:42:25 - TRADE | BUY | 516711 | reaction=0ms | execution=1322ms | total=1322ms | grade=B | roi_v2=25.4%
2025-08-14 01:42:25 - TRADE | SELL | 516711 | reaction=0ms | execution=1294ms | total=1294ms | grade=B | roi_v2=27.9%
2025-08-14 01:42:25 - TRADE | SELL | 516711 | reaction=0ms | execution=1292ms | total=1292ms | grade=B | roi_v2=27.9%
2025-08-14 01:42:25 - TRADE | SELL | 516711 | reaction=0ms | execution=1297ms | total=1297ms | grade=B | roi_v2=27.9%
2025-08-14 01:42:25 - TRADE | SELL | 516712 | reaction=0ms | execution=1273ms | total=1273ms | grade=B | roi_v2=20.0%
2025-08-14 01:42:25 - TRADE | SELL | 516712 | reaction=0ms | execution=998ms | total=998ms | grade=A | roi_v2=38.5%
2025-08-14 01:42:25 - TRADE | SELL | 516712 | reaction=0ms | execution=1260ms | total=1260ms | grade=B | roi_v2=20.0%
2025-08-14 01:42:25 - TRADE | SELL | 516712 | reaction=0ms | execution=1262ms | total=1262ms | grade=B | roi_v2=20.0%
2025-08-14 01:42:25 - TRADE | SELL | 516712 | reaction=0ms | execution=1264ms | total=1264ms | grade=B | roi_v2=20.0%
2025-08-14 01:42:57 - TRADE | SELL | 502517 | reaction=0ms | execution=1290ms | total=1290ms | grade=B | roi_v2=27.0%
2025-08-14 01:42:57 - TRADE | SELL | 502517 | reaction=0ms | execution=1011ms | total=1011ms | grade=B | roi_v2=45.5%
2025-08-14 01:42:57 - TRADE | SELL | 502517 | reaction=0ms | execution=1284ms | total=1284ms | grade=B | roi_v2=27.0%
